polygon,polygon_type,label
MAGETAN_KLAGEN,Desa,NDEZNET_DESAQ2
MAGETAN_KUWON,Desa,NDEZNET_DESAQ2
MAGETAN_BALUK,Desa,NDEZNET_DESAQ2
MAGETAN_BULAK,Desa,NDEZNET_DESAQ2
MAGETAN_TAPAK,Desa,NDEZNET_DESAQ2
MAGETAN_SAMBIROBYONG,Desa,NDEZNET_DESAQ2
MAGETAN_DURENAN,Desa,NDEZNET_DESAQ2
MAGETAN_RANDUGEDE,Desa,NDEZNET_DESAQ2
MAGETAN_BOGOARUM,Desa,NDEZNET_DESAQ2
MAGETAN_PUNTUKDORO,Desa,NDEZNET_DESAQ2
MAGETAN_NGANCAR,Desa,NDEZNET_DESAQ2
MAGETAN_PENDEM,Desa,NDEZNET_DESAQ2
MAGETAN_SELOTINATAH,Desa,NDEZNET_DESAQ2
MAGETAN_BALEREJO,Desa,NDEZNET_DESAQ2
MAGETAN_TAPEN,Desa,NDEZNET_DESAQ2
MAGETAN_KEDUNGPANJI,Desa,NDEZNET_DESAQ2
MAGETAN_TUNGGUR,Desa,NDEZNET_DESAQ2
MAGETAN_KEDIREN,Desa,NDEZNET_DESAQ2
MAGETAN_JOKERTO,Desa,NDEZNET_DESAQ2
MAGETAN_SUNDUL,Desa,NDEZNET_DESAQ2
MAGETAN_MATEGAL,Desa,NDEZNET_DESAQ2
MAGETAN_JANGGAN,Desa,NDEZNET_DESAQ2
MAGETAN_CILENG,Desa,NDEZNET_DESAQ2
MADIUN_TULUNGREJO,Desa,NDEZNET_DESAQ2
MADIUN_SIMO,Desa,NDEZNET_DESAQ2
MADIUN_KUNCEN,Desa,NDEZNET_DESAQ2
MADIUN_BLABAKAN,Desa,NDEZNET_DESAQ2
MADIUN_KREBET,Desa,NDEZNET_DESAQ2
MADIUN_RANDUALAS,Desa,NDEZNET_DESAQ2
MADIUN_KUWIRAN,Desa,NDEZNET_DESAQ2
MADIUN_SOBRAH,Desa,NDEZNET_DESAQ2
MADIUN_KEPET,Desa,NDEZNET_DESAQ2
JEMBER_POCANGAN,Desa,NDEZNET_DESAQ2
JEMBER_SUKOSARI,Desa,NDEZNET_DESAQ2
JEMBER_PLEREAN,Desa,NDEZNET_DESAQ2
JEMBER_SUMBERPAKEM,Desa,NDEZNET_DESAQ2
JEMBER_SUMBERBULUS,Desa,NDEZNET_DESAQ2
JEMBER_SUBO,Desa,NDEZNET_DESAQ2
JEMBER_JATIAN,Desa,NDEZNET_DESAQ2
JEMBER_KLUNGKUNG,Desa,NDEZNET_DESAQ2
JEMBER_KARANGPRING,Desa,NDEZNET_DESAQ2
JEMBER_PAKIS,Desa,NDEZNET_DESAQ2
JEMBER_SELODAKON,Desa,NDEZNET_DESAQ2
JEMBER_KALIGLAGAH,Desa,NDEZNET_DESAQ2
JEMBER_JAMINTORO,Desa,NDEZNET_DESAQ2
JEMBER_GELANG,Desa,NDEZNET_DESAQ2
JEMBER_SRUNI,Desa,NDEZNET_DESAQ2
JEMBER_KARANG KEDAWUNG,Desa,NDEZNET_DESAQ2
JEMBER_KAWANGREJO,Desa,NDEZNET_DESAQ2
JEMBER_MRAWAN,Desa,NDEZNET_DESAQ2
JEMBER_SANENREJO,Desa,NDEZNET_DESAQ2
JEMBER_ANDONGREJO,Desa,NDEZNET_DESAQ2
JEMBER_MAYANGAN,Desa,NDEZNET_DESAQ2
TRENGGALEK_PUCANGANAK,Desa,NDEZNET_DESAQ2
TRENGGALEK_NGLINGGIS,Desa,NDEZNET_DESAQ2
TRENGGALEK_SUMBERDADI,Desa,NDEZNET_DESAQ2
TRENGGALEK_NGULANWETAN,Desa,NDEZNET_DESAQ2
TRENGGALEK_MLINJON,Desa,NDEZNET_DESAQ2
TRENGGALEK_PANDEAN,Desa,NDEZNET_DESAQ2
TRENGGALEK_NGULUNGKULON,Desa,NDEZNET_DESAQ2
TRENGGALEK_BARANG,Desa,NDEZNET_DESAQ2
TRENGGALEK_KERTOSONO,Desa,NDEZNET_DESAQ2
TRENGGALEK_KARANGTENGAH,Desa,NDEZNET_DESAQ2
PONOROGO_SEMPU,Desa,NDEZNET_DESAQ2
PONOROGO_WATES,Desa,NDEZNET_DESAQ2
PONOROGO_SRATEN,Desa,NDEZNET_DESAQ2
PONOROGO_MRICAN,Desa,NDEZNET_DESAQ2
PONOROGO_NAMPAN,Desa,NDEZNET_DESAQ2
PONOROGO_BITING,Desa,NDEZNET_DESAQ2
PONOROGO_POKO,Desa,NDEZNET_DESAQ2
PONOROGO_SUKOSARI,Desa,NDEZNET_DESAQ2
PONOROGO_NGAMPEL,Desa,NDEZNET_DESAQ2
PONOROGO_DADAPAN,Desa,NDEZNET_DESAQ2
PONOROGO_BULU KIDUL,Desa,NDEZNET_DESAQ2
PONOROGO_JARAK,Desa,NDEZNET_DESAQ2
PONOROGO_KAPONAN,Desa,NDEZNET_DESAQ2
PONOROGO_KRISIK,Desa,NDEZNET_DESAQ2
PONOROGO_BANJAREJO,Desa,NDEZNET_DESAQ2
PONOROGO_KETRO,Desa,NDEZNET_DESAQ2
PONOROGO_NGADISANAN,Desa,NDEZNET_DESAQ2
PONOROGO_SAMBILAWANG,Desa,NDEZNET_DESAQ2
PONOROGO_PADAS,Desa,NDEZNET_DESAQ2
PONOROGO_BEKARE,Desa,NDEZNET_DESAQ2
PONOROGO_TRUNENG,Desa,NDEZNET_DESAQ2
PONOROGO_SELUR,Desa,NDEZNET_DESAQ2
PACITAN_GUNUNGREJO,Desa,NDEZNET_DESAQ2
PACITAN_PAGERLOR,Desa,NDEZNET_DESAQ2
PACITAN_PAGERKIDUL,Desa,NDEZNET_DESAQ2
PACITAN_NOGOSARI,Desa,NDEZNET_DESAQ2
PACITAN_BOGOHARJO,Desa,NDEZNET_DESAQ2
PACITAN_SIDOMULYO,Desa,NDEZNET_DESAQ2
PACITAN_LOSARI,Desa,NDEZNET_DESAQ2
PACITAN_PADI,Desa,NDEZNET_DESAQ2
PACITAN_NGLARAN,Desa,NDEZNET_DESAQ2
PACITAN_KEMUNING,Desa,NDEZNET_DESAQ2
PACITAN_PUCANGOMBO,Desa,NDEZNET_DESAQ2
PACITAN_PETUNGSINARANG,Desa,NDEZNET_DESAQ2
PACITAN_SEMPU,Desa,NDEZNET_DESAQ2
PACITAN_TEMON,Desa,NDEZNET_DESAQ2
PACITAN_PAGUTAN,Desa,NDEZNET_DESAQ2
PACITAN_KETEPUNG,Desa,NDEZNET_DESAQ2
PACITAN_GAWANG,Desa,NDEZNET_DESAQ2
PACITAN_PONGGOK,Desa,NDEZNET_DESAQ2
PACITAN_BOLOSINGO,Desa,NDEZNET_DESAQ2
PACITAN_BANJARSARI,Desa,NDEZNET_DESAQ2
PACITAN_SEDENG,Desa,NDEZNET_DESAQ2
PACITAN_GLINGGANGAN,Desa,NDEZNET_DESAQ2
PACITAN_MENDOLO KIDUL,Desa,NDEZNET_DESAQ2
PACITAN_SENDANG,Desa,NDEZNET_DESAQ2
PADANG PARIAMAN_TOBOH GADANG SELATAN,Desa,NDEZNET_DESAQ2
PADANG PARIAMAN_MANGGOPOH PALAK GADANG ULAKAN,Desa,NDEZNET_DESAQ2
PADANG PARIAMAN_LAREH NAN PANJANG,Desa,NDEZNET_DESAQ2
PADANG PARIAMAN_BALAH AIE TIMUR,Desa,NDEZNET_DESAQ2
PADANG PARIAMAN_LIMPATO SUNGAI SARIAK,Desa,NDEZNET_DESAQ2
PADANG PARIAMAN_BATU KALANG,Desa,NDEZNET_DESAQ2
KOTA PARIAMAN_PADANG CAKUR,Desa,NDEZNET_DESAQ2
