polygon,polygon_type,label
KOTA BANDAR LAMPUNG_KEL. BATU PUTUK,DESA,NDEZNET_DESAQ2
NGAWI_SEKARJATI,DESA,NDEZNET_DESAQ2
NGAWI_BANJARBANGGI,DESA,NDEZNET_DESAQ2
NGAWI_JATIGEMBOL,DESA,NDEZNET_DESAQ2
NGAWI_KEBON,DESA,NDEZNET_DESAQ2
NGAWI_SEMEN,DESA,NDEZNET_DESAQ2
NGAWI_BINTOYO,DESA,NDEZNET_DESAQ2
NGAWI_BENDO,DESA,NDEZNET_DESAQ2
NGAWI_GANDONG,DESA,NDEZNET_DESAQ2
NGAWI_BRINGIN,DESA,NDEZNET_DESAQ2
NGAWI_REJUNO,DESA,NDEZNET_DESAQ2
NGAWI_REJOMULYO,DESA,NDEZNET_DESAQ2
NGAWI_PUHTI,DESA,NDEZNET_DESAQ2
NGAWI_SIDOREJO,DESA,NDEZNET_DESAQ2
NGAWI_PARAS,DESA,NDEZNET_DESAQ2
NGAWI_JENANGAN,DESA,NDEZNET_DESAQ2
NGAWI_TIRAK,DESA,NDEZNET_DESAQ2
NGAWI_SUMENGKO,DESA,NDEZNET_DESAQ2
NGAWI_MOJOMANIS,DESA,NDEZNET_DESAQ2
NGAWI_GAYAM,DESA,NDEZNET_DESAQ2
NGAWI_KARANGGUPITO,DESA,NDEZNET_DESAQ2
NGAWI_BRUBUH,DESA,NDEZNET_DESAQ2
NGAWI_KLETEKAN,DESA,NDEZNET_DESAQ2
NGAWI_MENDIRO,DESA,NDEZNET_DESAQ2
NGAWI_TAWANGREJO,DESA,NDEZNET_DESAQ2
NGAWI_SUMBEREJO,DESA,NDEZNET_DESAQ2
MAGETAN_PENCOL,DESA,NDEZNET_DESAQ2
MAGETAN_KLAGEN,DESA,NDEZNET_DESAQ2
MAGETAN_KUWON,DESA,NDEZNET_DESAQ2
MAGETAN_BALUK,DESA,NDEZNET_DESAQ2
MAGETAN_BULAK,DESA,NDEZNET_DESAQ2
MAGETAN_TAPAK,DESA,NDEZNET_DESAQ2
MAGETAN_SAMBIROBYONG,DESA,NDEZNET_DESAQ2
MAGETAN_DURENAN,DESA,NDEZNET_DESAQ2
MAGETAN_RANDUGEDE,DESA,NDEZNET_DESAQ2
MAGETAN_BOGOARUM,DESA,NDEZNET_DESAQ2
MAGETAN_PUNTUKDORO,DESA,NDEZNET_DESAQ2
MAGETAN_NGANCAR,DESA,NDEZNET_DESAQ2
MAGETAN_PENDEM,DESA,NDEZNET_DESAQ2
MAGETAN_SELOTINATAH,DESA,NDEZNET_DESAQ2
MAGETAN_BALEREJO,DESA,NDEZNET_DESAQ2
MAGETAN_TAPEN,DESA,NDEZNET_DESAQ2
MAGETAN_KEDUNGPANJI,DESA,NDEZNET_DESAQ2
MAGETAN_TUNGGUR,DESA,NDEZNET_DESAQ2
MAGETAN_KEDIREN,DESA,NDEZNET_DESAQ2
MAGETAN_JOKERTO,DESA,NDEZNET_DESAQ2
MAGETAN_SUNDUL,DESA,NDEZNET_DESAQ2
MAGETAN_MATEGAL,DESA,NDEZNET_DESAQ2
MAGETAN_JANGGAN,DESA,NDEZNET_DESAQ2
MAGETAN_CILENG,DESA,NDEZNET_DESAQ2
MADIUN_TULUNGREJO,DESA,NDEZNET_DESAQ2
MADIUN_SIMO,DESA,NDEZNET_DESAQ2
MADIUN_KUNCEN,DESA,NDEZNET_DESAQ2
MADIUN_BLABAKAN,DESA,NDEZNET_DESAQ2
MADIUN_KREBET,DESA,NDEZNET_DESAQ2
MADIUN_RANDUALAS,DESA,NDEZNET_DESAQ2
MADIUN_KUWIRAN,DESA,NDEZNET_DESAQ2
MADIUN_SOBRAH,DESA,NDEZNET_DESAQ2
MADIUN_KEPET,DESA,NDEZNET_DESAQ2
JEMBER_POCANGAN,DESA,NDEZNET_DESAQ2
JEMBER_SUKOSARI,DESA,NDEZNET_DESAQ2
JEMBER_PLEREAN,DESA,NDEZNET_DESAQ2
JEMBER_SUMBERPAKEM,DESA,NDEZNET_DESAQ2
JEMBER_SUMBERBULUS,DESA,NDEZNET_DESAQ2
JEMBER_SUBO,DESA,NDEZNET_DESAQ2
JEMBER_JATIAN,DESA,NDEZNET_DESAQ2
JEMBER_KLUNGKUNG,DESA,NDEZNET_DESAQ2
JEMBER_KARANGPRING,DESA,NDEZNET_DESAQ2
JEMBER_PAKIS,DESA,NDEZNET_DESAQ2
JEMBER_SELODAKON,DESA,NDEZNET_DESAQ2
JEMBER_KALIGLAGAH,DESA,NDEZNET_DESAQ2
JEMBER_JAMINTORO,DESA,NDEZNET_DESAQ2
JEMBER_GELANG,DESA,NDEZNET_DESAQ2
JEMBER_SRUNI,DESA,NDEZNET_DESAQ2
JEMBER_KARANG KEDAWUNG,DESA,NDEZNET_DESAQ2
JEMBER_KAWANGREJO,DESA,NDEZNET_DESAQ2
JEMBER_MRAWAN,DESA,NDEZNET_DESAQ2
JEMBER_SANENREJO,DESA,NDEZNET_DESAQ2
JEMBER_ANDONGREJO,DESA,NDEZNET_DESAQ2
JEMBER_MAYANGAN,DESA,NDEZNET_DESAQ2
TRENGGALEK_PUCANGANAK,DESA,NDEZNET_DESAQ2
TRENGGALEK_NGLINGGIS,DESA,NDEZNET_DESAQ2
TRENGGALEK_SUMBERDADI,DESA,NDEZNET_DESAQ2
TRENGGALEK_NGULANWETAN,DESA,NDEZNET_DESAQ2
TRENGGALEK_MLINJON,DESA,NDEZNET_DESAQ2
TRENGGALEK_PANDEAN,DESA,NDEZNET_DESAQ2
TRENGGALEK_NGULUNGKULON,DESA,NDEZNET_DESAQ2
TRENGGALEK_BARANG,DESA,NDEZNET_DESAQ2
TRENGGALEK_KERTOSONO,DESA,NDEZNET_DESAQ2
TRENGGALEK_KARANGTENGAH,DESA,NDEZNET_DESAQ2
PONOROGO_SEMPU,DESA,NDEZNET_DESAQ2
PONOROGO_WATES,DESA,NDEZNET_DESAQ2
PONOROGO_SRATEN,DESA,NDEZNET_DESAQ2
PONOROGO_MRICAN,DESA,NDEZNET_DESAQ2
PONOROGO_NAMPAN,DESA,NDEZNET_DESAQ2
PONOROGO_BITING,DESA,NDEZNET_DESAQ2
PONOROGO_POKO,DESA,NDEZNET_DESAQ2
PONOROGO_SUKOSARI,DESA,NDEZNET_DESAQ2
PONOROGO_NGAMPEL,DESA,NDEZNET_DESAQ2
PONOROGO_DADAPAN,DESA,NDEZNET_DESAQ2
PONOROGO_BULU KIDUL,DESA,NDEZNET_DESAQ2
PONOROGO_JARAK,DESA,NDEZNET_DESAQ2
PONOROGO_KAPONAN,DESA,NDEZNET_DESAQ2
PONOROGO_KRISIK,DESA,NDEZNET_DESAQ2
PONOROGO_BANJAREJO,DESA,NDEZNET_DESAQ2
PONOROGO_KETRO,DESA,NDEZNET_DESAQ2
PONOROGO_NGADISANAN,DESA,NDEZNET_DESAQ2
PONOROGO_SAMBILAWANG,DESA,NDEZNET_DESAQ2
PONOROGO_PADAS,DESA,NDEZNET_DESAQ2
PONOROGO_BEKARE,DESA,NDEZNET_DESAQ2
PONOROGO_TRUNENG,DESA,NDEZNET_DESAQ2
PONOROGO_SELUR,DESA,NDEZNET_DESAQ2
PACITAN_GUNUNGREJO,DESA,NDEZNET_DESAQ2
PACITAN_PAGERLOR,DESA,NDEZNET_DESAQ2
PACITAN_PAGERKIDUL,DESA,NDEZNET_DESAQ2
PACITAN_NOGOSARI,DESA,NDEZNET_DESAQ2
PACITAN_BOGOHARJO,DESA,NDEZNET_DESAQ2
PACITAN_SIDOMULYO,DESA,NDEZNET_DESAQ2
PACITAN_LOSARI,DESA,NDEZNET_DESAQ2
PACITAN_PADI,DESA,NDEZNET_DESAQ2
PACITAN_NGLARAN,DESA,NDEZNET_DESAQ2
PACITAN_KEMUNING,DESA,NDEZNET_DESAQ2
PACITAN_PUCANGOMBO,DESA,NDEZNET_DESAQ2
PACITAN_PETUNGSINARANG,DESA,NDEZNET_DESAQ2
PACITAN_SEMPU,DESA,NDEZNET_DESAQ2
PACITAN_TEMON,DESA,NDEZNET_DESAQ2
PACITAN_PAGUTAN,DESA,NDEZNET_DESAQ2
PACITAN_KETEPUNG,DESA,NDEZNET_DESAQ2
PACITAN_GAWANG,DESA,NDEZNET_DESAQ2
PACITAN_PONGGOK,DESA,NDEZNET_DESAQ2
PACITAN_BOLOSINGO,DESA,NDEZNET_DESAQ2
PACITAN_BANJARSARI,DESA,NDEZNET_DESAQ2
PACITAN_SEDENG,DESA,NDEZNET_DESAQ2
PACITAN_GLINGGANGAN,DESA,NDEZNET_DESAQ2
PACITAN_MENDOLO KIDUL,DESA,NDEZNET_DESAQ2
PACITAN_SENDANG,DESA,NDEZNET_DESAQ2
PADANG PARIAMAN_TOBOH GADANG SELATAN,DESA,NDEZNET_DESAQ2
PADANG PARIAMAN_MANGGOPOH PALAK GADANG ULAKAN,DESA,NDEZNET_DESAQ2
PADANG PARIAMAN_LAREH NAN PANJANG,DESA,NDEZNET_DESAQ2
PADANG PARIAMAN_BALAH AIE TIMUR,DESA,NDEZNET_DESAQ2
PADANG PARIAMAN_LIMPATO SUNGAI SARIAK,DESA,NDEZNET_DESAQ2
PADANG PARIAMAN_BATU KALANG,DESA,NDEZNET_DESAQ2
KOTA PARIAMAN_PADANG CAKUR,DESA,NDEZNET_DESAQ2
KOTA PARIAMAN_TUNGKAL UTARA,DESA,NDEZNET_DESAQ2
KOTA PARIAMAN_SINTUK,DESA,NDEZNET_DESAQ2
KARANGANYAR_TRENGGULI,DESA,NDEZNET_DESAQ2
KARANGANYAR_JENAWI,DESA,NDEZNET_DESAQ2
KARANGANYAR_WONOSARI,DESA,NDEZNET_DESAQ2
KARANGANYAR_KARANGTURI,DESA,NDEZNET_DESAQ2
KARANGANYAR_KEL. DELINGAN,DESA,NDEZNET_DESAQ2
KARANGANYAR_NGARGOYOSO,DESA,NDEZNET_DESAQ2
KARANGANYAR_NGLEGOK,DESA,NDEZNET_DESAQ2
KARANGANYAR_TUNGGULREJO,DESA,NDEZNET_DESAQ2
KARANGANYAR_GIRIWONDO,DESA,NDEZNET_DESAQ2
KARANGANYAR_PLOSO,DESA,NDEZNET_DESAQ2
KARANGANYAR_JATIHARJO,DESA,NDEZNET_DESAQ2
WONOGIRI_KEL. SIDOKARTO,DESA,NDEZNET_DESAQ2
WONOGIRI_SEMEN,DESA,NDEZNET_DESAQ2
WONOGIRI_SEDAYU,DESA,NDEZNET_DESAQ2
WONOGIRI_GUNAN,DESA,NDEZNET_DESAQ2
WONOGIRI_WARU,DESA,NDEZNET_DESAQ2
WONOGIRI_MIRICINDE,DESA,NDEZNET_DESAQ2
WONOGIRI_SUMBER,DESA,NDEZNET_DESAQ2
WONOGIRI_GAMBIRANOM,DESA,NDEZNET_DESAQ2
WONOGIRI_GEDAWUNG,DESA,NDEZNET_DESAQ2
WONOGIRI_KEL. SANGGRONG,DESA,NDEZNET_DESAQ2
WONOGIRI_NGABEYAN,DESA,NDEZNET_DESAQ2
WONOGIRI_KERJO KIDUL,DESA,NDEZNET_DESAQ2
WONOGIRI_KELORAN,DESA,NDEZNET_DESAQ2
WONOGIRI_GUMIWANG LOR,DESA,NDEZNET_DESAQ2
WONOGIRI_NGUNGGAHAN,DESA,NDEZNET_DESAQ2
WONOGIRI_MINGGARHARJO,DESA,NDEZNET_DESAQ2
WONOGIRI_KEDUNGOMBO,DESA,NDEZNET_DESAQ2
WONOGIRI_BALEPANJANG,DESA,NDEZNET_DESAQ2
WONOGIRI_KEL. BEJI,DESA,NDEZNET_DESAQ2
WONOGIRI_TANJUNGSARI,DESA,NDEZNET_DESAQ2
WONOGIRI_HARGANTORO,DESA,NDEZNET_DESAQ2
WONOGIRI_NGANCAR,DESA,NDEZNET_DESAQ2
WONOGIRI_JOHUNUT,DESA,NDEZNET_DESAQ2
WONOGIRI_KETOS,DESA,NDEZNET_DESAQ2
WONOGIRI_TRUKAN,DESA,NDEZNET_DESAQ2
